date;name;type;lat;lon;height;t0_2024;p0_2024;w0_2024;t9_2024;p9_2024;w9_2024;t13_2024;p13_2024;w13_2024;t18_2024;p18_2024;w18_2024;t0_2025;p0_2025;w0_2025;t9_2025;p9_2025;w9_2025;t13_2025;p13_2025;w13_2025;t18_2025;p18_2025;w18_2025;t0_min;t0_max;p0_min;p0_max;w0_min;w0_max;t9_min;t9_max;p9_min;p9_max;w9_min;w9_max;t13_min;t13_max;p13_min;p13_max;w13_min;w13_max;t18_min;t18_max;p18_min;p18_max;w18_min;w18_max
21.07.2026;ТАЛАС;населённый пункт;42.510955;72.273736;;17.7;0.0;4.6;21.7;0.0;5.1;28.0;0.0;9.4;28.4;0.0;18.8;23.8;0.0;1.3;26.7;0.0;3.6;32.6;0.0;17.9;33.0;0.0;12.3;17.7;23.8;0.0;0.0;1.3;4.6;21.7;26.7;0.0;0.0;3.6;5.1;28.0;32.6;0.0;0.0;9.4;17.9;28.4;33.0;0.0;0.0;12.3;18.8
21.07.2026;ЖАНЫБЕК-БАТЫР;населённый пункт;42.44242;72.293326;;16.6;0.0;4.6;20.7;0.0;5.1;27.0;0.0;9.4;27.4;0.0;18.8;22.8;0.0;1.3;25.7;0.0;3.6;31.6;0.0;17.9;31.9;0.0;12.3;16.6;22.8;0.0;0.0;1.3;4.6;20.7;25.7;0.0;0.0;3.6;5.1;27.0;31.6;0.0;0.0;9.4;17.9;27.4;31.9;0.0;0.0;12.3;18.8
21.07.2026;КОЗУРЧАК;населённый пункт;42.441025;72.273886;;16.6;0.0;4.6;20.7;0.0;5.1;27.0;0.0;9.4;27.4;0.0;18.8;22.8;0.0;1.3;25.7;0.0;3.6;31.6;0.0;17.9;31.9;0.0;12.3;16.6;22.8;0.0;0.0;1.3;4.6;20.7;25.7;0.0;0.0;3.6;5.1;27.0;31.6;0.0;0.0;9.4;17.9;27.4;31.9;0.0;0.0;12.3;18.8
21.07.2026;мс1;ночёвка;42.41504;72.28558;1500.0;15.8;0.0;3.3;19.9;0.0;5.3;24.9;0.0;10.8;25.1;0.0;15.4;22.4;0.0;3.0;25.7;0.0;5.2;29.7;0.0;13.7;29.6;0.0;10.9;15.8;22.4;0.0;0.0;3.0;3.3;19.9;25.7;0.0;0.0;5.2;5.3;24.9;29.7;0.0;0.0;10.8;13.7;25.1;29.6;0.0;0.0;10.9;15.4
22.07.2026;мс2;ночёвка;42.211771;72.422909;2675.0;11.2;0.0;7.9;13.0;0.0;6.5;15.9;0.3;6.6;16.6;0.0;4.4;10.3;0.0;3.5;17.0;0.0;1.9;20.1;0.0;2.3;20.7;0.0;9.9;10.3;11.2;0.0;0.0;3.5;7.9;13.0;17.0;0.0;0.0;1.9;6.5;15.9;20.1;0.0;0.3;2.3;6.6;16.6;20.7;0.0;0.0;4.4;9.9
23.07.2026;Пер. Терек;перевал;42.201214;72.363171;3376.0;6.7;0.0;8.9;10.4;0.0;6.5;8.9;0.4;6.9;8.5;0.1;6.1;6.6;0.0;3.0;13.8;0.0;6.1;16.7;0.0;4.6;15.2;0.0;9.9;6.6;6.7;0.0;0.0;3.0;8.9;10.4;13.8;0.0;0.0;6.1;6.5;8.9;16.7;0.0;0.4;4.6;6.9;8.5;15.2;0.0;0.1;6.1;9.9
23.07.2026;КЕСКЕН-ТЕБЕ;населённый пункт;42.015948;72.468378;;22.9;0.0;5.8;25.1;0.0;2.9;24.0;0.0;1.0;22.4;0.3;4.7;22.3;0.0;3.6;26.6;0.0;2.1;30.3;0.0;5.1;30.9;0.0;3.6;22.3;22.9;0.0;0.0;3.6;5.8;25.1;26.6;0.0;0.0;2.1;2.9;24.0;30.3;0.0;0.0;1.0;5.1;22.4;30.9;0.0;0.3;3.6;4.7
23.07.2026;КАРА-КУНГЕЙ;населённый пункт;41.995885;72.482132;;22.9;0.0;5.8;25.1;0.0;2.9;24.0;0.0;1.0;22.4;0.3;4.7;22.3;0.0;3.6;26.6;0.0;2.1;30.3;0.0;5.1;30.9;0.0;3.6;22.3;22.9;0.0;0.0;3.6;5.8;25.1;26.6;0.0;0.0;2.1;2.9;24.0;30.3;0.0;0.0;1.0;5.1;22.4;30.9;0.0;0.3;3.6;4.7
23.07.2026;САГЫЗКАНДЫК;населённый пункт;41.974449;72.501831;;20.0;0.0;8.0;25.8;0.0;6.6;24.5;0.6;4.0;24.1;0.0;2.3;22.8;0.0;5.3;26.9;0.0;4.2;31.0;0.0;1.4;31.6;0.0;3.3;20.0;22.8;0.0;0.0;5.3;8.0;25.8;26.9;0.0;0.0;4.2;6.6;24.5;31.0;0.0;0.6;1.4;4.0;24.1;31.6;0.0;0.0;2.3;3.3
23.07.2026;АК-ТЕКТИР;населённый пункт;41.964343;72.517495;;19.9;0.0;8.0;25.8;0.0;6.6;24.4;0.6;4.0;24.0;0.0;2.3;22.8;0.0;5.3;26.9;0.0;4.2;30.9;0.0;1.4;31.6;0.0;3.3;19.9;22.8;0.0;0.0;5.3;8.0;25.8;26.9;0.0;0.0;4.2;6.6;24.4;30.9;0.0;0.6;1.4;4.0;24.0;31.6;0.0;0.0;2.3;3.3
